Date,Open,High,Low,Close,Volume
2025-05-09,137.45401188473625,137.7683037416036,131.03369542319336,132.97082909642234,514568
2025-05-12,195.07143064099162,201.43553475362944,194.23003099104113,195.3849769566731,286141
2025-05-13,173.19939418114052,176.34295399190378,171.5831070401944,173.60574539724158,998320
2025-05-14,159.86584841970367,164.9515553313507,150.88030653443286,161.24014743468572,734736
2025-05-15,115.60186404424365,124.67752878350458,109.53757344764776,117.86277738147027,638685
2025-05-16,115.59945203362027,118.09237432510902,115.50748151745397,120.35797282824561,278031
2025-05-19,105.80836121681995,109.91219044717624,104.79364578815962,105.9713646998319,219180
2025-05-20,186.6176145774935,194.173125962924,179.98259688641295,184.84717930690596,166234
2025-05-21,160.1115011743209,162.39948282923712,160.0608853358587,163.06336312200793,664242
2025-05-22,170.80725777960456,171.5770568778925,169.19917726542957,168.5155802922253,278352
2025-05-23,102.05844942958025,104.95596395871793,96.57111153591438,101.44816363663661,179459
2025-05-26,196.99098521619942,198.60319808873948,190.07203323927249,192.77554902962208,509995
2025-05-27,183.24426408004217,192.5412406034679,176.72465148501615,178.49777151419676,295004
2025-05-28,121.23391106782762,129.3151148634718,118.99121797322202,125.86039521460687,566152
2025-05-29,118.18249672071006,124.5165342858143,111.0607045072347,121.54229792583212,825256
2025-05-30,118.34045098534338,127.05505688722056,115.96796011037539,120.30019304628036,159163
2025-06-02,130.42422429595376,138.4609450649449,127.17022731436109,129.51375374009646,575853
2025-06-03,152.4756431632238,154.34134375208416,145.01072911204355,149.20858636393226,151934
2025-06-04,143.1945018642116,152.12009184911136,136.69817287373945,139.75887229092245,820255
2025-06-05,129.1229140198042,134.5163364389607,120.63067991486241,126.62534300145015,525523
2025-06-06,161.18528947223794,169.25969102387856,154.6091605492345,161.67755611929914,940530
2025-06-09,113.94938606520418,122.91029906443912,108.26630003184947,116.0953452922048,554137
2025-06-10,129.2144648535218,132.39449960324043,128.27771717524087,130.8164386206991,105486
2025-06-11,136.63618432936917,137.73670357464593,132.95902629877483,134.4355232988286,239407
2025-06-12,145.6069984217036,147.88635004712302,142.95497474488633,150.15565122833553,973332
2025-06-13,178.51759613930136,182.78867402556392,176.07769970551053,180.89656530625905,750308
2025-06-16,119.96737821583598,128.14752587506092,110.23727266831152,120.51091874094999,727083
2025-06-17,151.42344384136118,160.03074967392462,147.49246659469358,152.5406513037047,320184
2025-06-18,159.24145688620425,159.31097819151614,150.3209913344331,158.43745751048215,766490
2025-06-19,104.64504127199977,109.75251429777543,98.33365501202715,102.12235116701135,449652
2025-06-20,160.75448519014384,164.92859522163164,152.80637215472734,159.31421197665645,861315
2025-06-23,117.05241236872915,119.27349047343645,112.02604143767724,119.63087347337284,742612
2025-06-24,106.50515929852796,107.70381297186478,100.73612045226437,101.64909418482551,422710
2025-06-25,194.88855372533334,198.2647054393696,189.9633767871447,191.0492801304025,297775
2025-06-26,196.56320330745592,205.99230034658112,194.61077342947547,192.02322972767345,389336
2025-06-27,180.8397348116461,184.07176413185366,173.61521365903107,176.2470228348358,887494
2025-06-30,130.46137691733708,135.64928313477074,127.65365329292852,134.01598275744715,708364
2025-07-01,109.76721140063839,116.79740098959016,109.52405173632386,111.80378999443863,189780
2025-07-02,168.4233026512157,172.05959867500863,161.968579692144,168.16504094208895,252617
2025-07-03,144.01524937396013,153.73307020116974,142.24414257988965,139.99359098047015,645977
2025-07-04,112.20382348447788,121.828296433899,102.79923764094873,112.1199822356462,897606
2025-07-07,149.51769101112703,152.03551396938067,139.97840524110114,149.25240871893268,450605
2025-07-08,103.43885211152184,108.41133717044569,94.29020820931736,100.17087081062199,989465
2025-07-09,190.9320402078782,193.9408233060459,187.23045320532376,190.27055670025794,633636
2025-07-10,125.8779981600017,128.72640310377636,125.72343199471302,124.86304550397543,138102
2025-07-11,166.2522284353982,166.6210979089435,156.96904280952094,167.41072941592037,174460
2025-07-14,131.1711076089411,137.26675094874008,126.88926612576796,132.52204411761753,464778
2025-07-15,152.0068021177811,157.0335923500697,142.3402539273444,147.45984221550154,189930
2025-07-16,154.67102793432798,155.1858154468279,145.03482816343546,153.4171540805927,631089
2025-07-17,118.4854455525527,121.27191019491882,109.95535099787911,119.74404470969506,727438
2025-07-18,196.95846277645586,206.0411216361224,194.01397385576,196.98982536225674,827627
2025-07-21,177.51328233611144,179.90890124278116,173.6623050500922,181.07818074799468,279208
2025-07-22,193.9498941564189,195.39884287733113,185.43852744125033,195.53683047260836,254697
2025-07-23,189.4827350427649,194.37726264554053,186.3135149912021,186.1120793135792,313945
2025-07-24,159.78999788110852,169.64650242221452,158.0950704142476,155.4956853551128,331915
2025-07-25,192.18742350231167,194.60797621742668,186.61941087772817,193.61161628437483,827952
2025-07-28,108.84925020519195,115.57060567925073,99.48770246358414,104.11436331060817,308124
2025-07-29,119.59828624191452,127.2144823952017,112.63798827516479,120.45604205464916,537477
2025-07-30,104.5227288910538,106.89910433097779,98.82211719016016,108.92503130530338,625830
2025-07-31,132.53303307632643,139.81519656244504,131.56126813861874,133.28777485508522,383821
2025-08-01,138.8677289689482,142.54556029614074,132.7176567019565,137.7494282310134,277804
2025-08-04,127.13490317738959,133.4579614833254,117.23436467634696,128.56778536181312,805703
2025-08-05,182.87375091519294,189.20904802280188,181.4729107628277,182.4562798201081,139081
2025-08-06,135.67533266935894,141.03307951010652,130.49203614572156,136.13150056251828,818216
2025-08-07,128.09345096873807,128.99634866928216,119.31972024945851,132.5080990565033,455249
2025-08-08,154.26960831582485,162.62263327171723,146.8619221382828,153.1306346938326,319930
2025-08-11,114.09242249747626,117.30022314719362,107.12226508752359,118.7043281357154,905497
2025-08-12,180.21969807540398,182.08488317940254,173.19485723553288,184.27320449496463,617313
2025-08-13,107.45506436797709,107.86281578352472,103.86015285577953,104.41297571587005,314532
